"filename", "language", "Svelte", "XML", "JSON", "TypeScript", "JavaScript", "CSS", "Markdown", "JSON with Comments", "HTML", "comment", "blank", "total"
"/Users/jill/Sites/california/src/components/StripPlot.svelte", "Svelte", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 150
"/Users/jill/Sites/california/src/components/Tabs.svelte", "Svelte", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"/Users/jill/Sites/california/src/components/Tooltip.svelte", "Svelte", 88, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 101
"/Users/jill/Sites/california/src/components/TriangleChart.svelte", "Svelte", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/jill/Sites/california/src/components/Waffle.svelte", "Svelte", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"/Users/jill/Sites/california/src/components/d3ScatterArrestIncarceration.svelte", "Svelte", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 192
"/Users/jill/Sites/california/src/components/d3ScatterArrests.svelte", "Svelte", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 197
"/Users/jill/Sites/california/src/data/cafacnogeo.json", "JSON", 0, 0, 4370, 0, 0, 0, 0, 0, 0, 0, 0, 4370
"/Users/jill/Sites/california/src/data/california_facilities.json", "JSON", 0, 0, 7948, 0, 0, 0, 0, 0, 0, 0, 0, 7948
"/Users/jill/Sites/california/src/data/process.ipynb", "JSON", 0, 0, 1566, 0, 0, 0, 0, 0, 0, 0, 2, 1568
"/Users/jill/Sites/california/src/main.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"/Users/jill/Sites/california/src/pages/County.svelte", "Svelte", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 107
"/Users/jill/Sites/california/src/pages/State.svelte", "Svelte", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"/Users/jill/Sites/california/src/stores/jailpopulations.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/jill/Sites/california/src/stores/tab-store.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/Users/jill/Sites/california/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/jill/Sites/california/vite.config.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"Total", "-", 4919, 2, 16099, 0, 32, 102, 11, 17, 13, 116, 622, 21933
